timestamp,clean_title,subject,verb,object,eval,palettes,legend,active_passive
20120103,"Kazakh bank BTA debt falls, investors eye possible default",Kazakh bank BTA debt,falls,", investors eye possible default",7,#e377c2,"hit, fall, sink, suffer",
20120104,Apple hires Adobe officer to lead iAd,Apple,hires,Adobe officer to lead iAd,4,#fdd0a2,hire,
20120106,LG Elec says joins Google to roll out Google TV,LG Elec,says,joins Google to roll out Google TV,2,#636363,say,
20120111,Apple plans January 19 education event in New York,Apple,plans,January 19 education event in New York,4,#d62728,"launch, unveil, introduce",
20120111,Apple buys Israeli technology firm Anobit,Apple,buys,Israeli technology firm Anobit,4,#1f77b4,"buy, invest, acquire",
20120112,Possible tornado injures 10 in North Carolina,Possible tornado,injures,10 in North Carolina,1,#393b79,"kill, injure, rise",
20120117,"Fitch says Greece to default, believes will be orderly",Fitch,says,"Greece to default, believes will be orderly",7,#636363,say,
20120117,Bunds fall but Greek default fears limit losses,Bunds,fall,but Greek default fears limit losses,7,#e377c2,"hit, fall, sink, suffer",
20120118,Central U.S. hit by rare winter tornadoes,Central U.S.,hit,by rare winter tornadoes,1,#e6550d,"hit, shake, strike",
20120118,Germany says will avoid recession despite grim winter,Germany,says,will avoid recession despite grim winter,6,#636363,say,
20120119,"Earthquake hits northeast Iran, 100 injured",Earthquake,hits,"northeast Iran, 100 injured",0,#e6550d,"hit, shake, strike",
20120124,S&P; says likely to declare Greece in default,S&P;,says,likely to declare Greece in default,7,#636363,say,
20120124,Apple again loses Dutch bid for Samsung tablet ban,Apple again,loses,Dutch bid for Samsung tablet ban,4,#c7e9c0,loses,
20120125,Motorola sues Apple for patent infringement,Motorola,sues,Apple for patent infringement,4,#e7ba52,"face, settle, raid, investigate, ...",
20120126,Apple CEO faces first test with cash mountain,Apple CEO,faces,first test with cash mountain,4,#e7ba52,"face, settle, raid, investigate, ...",
20120130,ECB's Makuch sees some recession risks,ECB's Makuch,sees,some recession risks,6,#ad494a,"see, predict, warn",
20120131,Apple hires Dixons chief to drive global retail,Apple,hires,Dixons chief to drive global retail,4,#fdd0a2,hire,
20120201,Belgium slides into recession,Belgium,slides,into recession,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120201,US corporate defaults rise suggests distressed exchanges no Panacea,US corporate defaults,rise,suggests distressed exchanges no Panacea,7,#f7fcb9,rise,
20120204,Eurogroup's Juncker warns of possible Greece default,Eurogroup's Juncker,warns,of possible Greece default,7,#ad494a,"see, predict, warn",
20120204,Magnitude 5.7 earthquake strikes off Vancouver Island,Magnitude 5.7 earthquake,strikes,off Vancouver Island,0,#e6550d,"hit, shake, strike",
20120206,"S&P; downgrades Belize, sees possible debt default","S&P; downgrades Belize,",sees,possible debt default,7,#ad494a,"see, predict, warn",
20120207,Itau Unibanco sees defaults stabilizing in 2012,Itau Unibanco,sees,defaults stabilizing in 2012,7,#ad494a,"see, predict, warn",
20120207,Singapore's First Ship Lease says BLT in default,Singapore's First Ship Lease,says,BLT in default,7,#636363,say,
20120207,First Ship Lease says Berlian Laju units defaulted on lease obligations,First Ship Lease,says,Berlian Laju units defaulted on lease obligations,7,#636363,say,
20120210,Apple sues Motorola Mobility over Qualcomm license,Apple,sues,Motorola Mobility over Qualcomm license,4,#e7ba52,"face, settle, raid, investigate, ...",
20120212,Apple launches new legal attack on Samsung phones,Apple,launches,new legal attack on Samsung phones,4,#d62728,"launch, unveil, introduce",
20120213,Italy seen in recession as GDP contraction deepens in Q4,Italy,seen,in recession as GDP contraction deepens in Q4,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120214,Strong 6.0 earthquake strikes off Oregon coast,Strong 6.0 earthquake,strikes,off Oregon coast,0,#e6550d,"hit, shake, strike",
20120214,Apple to launch 4G iPad in March,Apple,to launch,4G iPad in March,4,#d62728,"launch, unveil, introduce",
20120216,Apple loses share in Q4 in China smartphone market,Apple,loses,share in Q4 in China smartphone market,4,#c7e9c0,loses,
20120216,Solvay sees mild recession in Europe,Solvay,sees,mild recession in Europe,6,#ad494a,"see, predict, warn",
20120217,Apple's iPhone loses China market share,Apple's iPhone,loses,China market share,4,#c7e9c0,loses,
20120221,Temblor rattles New Madrid earthquake zone in Missouri,Temblor,rattles,New Madrid earthquake zone in Missouri,0,#7b4173,"felt, seen, rattle",
